지점,일시,평균 오존전량(DU)
132,2016-01-11,340.8
132,2016-01-12,376.8
132,2016-01-13,398
132,2016-01-14,384.7
132,2016-01-15,363.5
132,2016-01-16,352.7
132,2016-01-17,356
132,2016-01-18,410.1
132,2016-01-19,374.9
132,2016-01-20,362.2
132,2016-01-21,341.2
132,2016-01-22,347.4
132,2016-01-23,360.2
132,2016-01-24,
132,2016-01-25,371.8
132,2016-01-26,316.9
132,2016-01-27,297.6
132,2016-01-28,292.8
132,2016-01-29,285.5
132,2016-01-30,369.4
132,2016-01-31,369
132,2016-02-01,354.6
132,2016-02-02,324.3
132,2016-02-03,340
132,2016-02-04,350.4
132,2016-02-05,412.6
132,2016-02-06,388.6
132,2016-02-07,366.9
132,2016-02-08,405.5
132,2016-02-09,345.2
132,2016-02-10,336.9
132,2016-02-11,319.8
132,2016-02-12,
132,2016-02-13,294.9
132,2016-02-14,322.3
132,2016-02-15,398.7
132,2016-02-16,388
132,2016-02-17,395.4
132,2016-02-18,413.4
132,2016-02-19,
132,2016-02-20,376.4
132,2016-02-21,399.9
